Year,Volume,Issue,URL
1983,1,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23050&punumber=50
1983,1,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23051&punumber=50
1983,1,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23052&punumber=50
1983,1,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23053&punumber=50
1984,2,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23111&punumber=50
1984,2,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23112&punumber=50
1984,2,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23113&punumber=50
1984,2,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23114&punumber=50
1984,2,5,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23115&punumber=50
1984,2,6,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23116&punumber=50
1985,3,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23129&punumber=50
1985,3,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23130&punumber=50
1985,3,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23131&punumber=50
1985,3,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23132&punumber=50
1985,3,5,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23133&punumber=50
1985,3,6,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23134&punumber=50
1986,4,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23147&punumber=50
1986,4,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23151&punumber=50
1986,4,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23152&punumber=50
1986,4,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=23153&punumber=50
